🕘️更新时间,#genre#
陕西卫视,http://api.kkitv.itv888.cn:8080/hls/hyy3w1xyoaw/index.m3u8$订阅源
陕西卫视,https://jzb.wwkejishe.top/?id=603$订阅源
四川卫视,http://api.kkitv.itv888.cn:8080/hls/p2npnppn96p/index.m3u8$订阅源
四川卫视,https://smt.858.qzz.io/Smart.php?id=sichuan_twn$订阅源
四川卫视,https://jzb.wwkejishe.top/?id=610$订阅源
深圳卫视,http://api.kkitv.itv888.cn:8080/hls/iftsd32ykm/index.m3u8$订阅源
深圳卫视,https://smt.858.qzz.io/Smart.php?id=shenzhen$订阅源
天津卫视,http://api.kkitv.itv888.cn:8080/hls/z2lkdkrb4w/index.m3u8$订阅源
天津卫视,https://jzb.wwkejishe.top/?id=611$订阅源
西藏卫视,http://cc02.tv12.xyz/9.m3u8$订阅源
新疆卫视,http://api.kkitv.itv888.cn:8080/hls/vr12qgtucx/index.m3u8$订阅源
新疆卫视,https://jzb.wwkejishe.top/?id=623$订阅源
新疆卫视,http://cc02.tv12.xyz/10.m3u8$订阅源
云南卫视,http://api.kkitv.itv888.cn:8080/hls/jwvhleddq5/index.m3u8$订阅源
